代码,显示名称,持仓股数,市值,盈亏,成本价,现价,备注
512760,芯片ETF,2200,2461.80,-5.10,1.121,1.119,2026-06-02截图确认
159325,半导体NF,1100,2305.60,-3.99,2.100,2.096,半导体ETF南方
515050,5GETF,2100,2566.20,-0.90,1.222,1.222,通信ETF华夏/5G显示名
159327,半导材料,900,2508.30,-10.50,2.799,2.787,半导体设备ETF万家
159667,工业母机,1100,2508.00,49.90,2.235,2.280,2026-06-01首批
159663,机床,1100,2487.10,46.60,2.219,2.261,2026-06-01首批
159259,成长ETF,1700,2482.00,90.10,1.407,1.460,2026-06-01首批
159732,消费电子,1600,2475.20,58.90,1.510,1.547,2026-06-01首批
159326,电网设备,1200,2487.60,14.11,2.061,2.073,2026-06-01首批
159320,电网ETF,1100,2475.00,16.90,2.235,2.250,2026-06-01首批
