序号,代码,名称,市场,标签,最新价,日均额(M),120日动量(%),目标股数,预估金额
1,515050,通信ETF华夏,沪,,1.200,354.7,78.0,2000,2400
2,159327,半导体设备ETF万家,深,创,2.880,101.7,76.3,800,2304
3,159663,机床ETF华夏,深,,2.293,57.0,65.3,1000,2293
4,159667,工业母机ETF国泰,深,,2.307,213.0,64.2,1000,2307
5,159381,创业板人工智能ETF华夏,深,创,2.667,408.9,61.5,900,2400
6,159363,创业板人工智能ETF华宝,深,创,1.410,993.1,61.3,1700,2397
7,159388,创业板人工智能ETF国泰,深,创,1.154,128.5,61.2,2100,2423
8,159242,创业板人工智能ETF大成,深,创,2.376,70.0,61.0,1000,2376
9,159246,创业板人工智能ETF富国,深,创,1.326,149.1,60.5,1800,2387
10,159382,创业板人工智能ETF南方,深,创,3.013,159.9,60.4,800,2410
11,159279,创业板人工智能ETF华安,深,创,1.601,56.7,59.9,1500,2402
12,512480,半导体ETF国联安,沪,,2.160,1591.3,57.1,1100,2376
13,159325,半导体ETF南方,深,创,2.175,79.7,55.5,1100,2392
14,159259,成长ETF易方达,深,创,1.454,220.0,53.9,1700,2472
15,512760,芯片ETF国泰,沪,,1.160,355.1,52.6,2100,2436
16,159801,芯片ETF广发,深,,1.234,183.6,51.4,2000,2468
17,159781,科创创业ETF易方达,深,,1.300,312.8,50.3,1900,2470
18,159326,电网设备ETF华夏,深,创,2.060,1837.8,49.6,1200,2472
19,159732,消费电子ETF华夏,深,,1.550,218.9,49.3,1600,2480
20,159783,科创创业50ETF华夏,深,,1.296,210.3,48.8,1900,2462

合计实买,48128,余,1872,利用率,96.3%
